Bosnia and Herzegovina,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
220,2020,2.069032258064516,2.24,2.11,2.12,2.07,2.11
221,2021,,,2.15,2.16,2.1,2.16
222,2022,,,2.18,2.2,2.14,2.2
223,2023,,,2.2,2.24,2.18,2.24
224,2024,,,2.23,2.28,2.21,2.28
225,2025,,,2.25,2.31,2.25,2.32
226,2026,,,2.27,2.35,2.29,2.36
227,2027,,,2.29,2.38,2.33,2.4
228,2028,,,2.31,2.42,2.38,2.45
229,2029,,,2.33,2.46,2.42,2.49
230,2030,,,2.35,2.49,2.46,2.54
231,2031,,,2.37,2.52,2.51,2.59
232,2032,,,2.39,2.56,2.55,2.63
233,2033,,,2.41,2.58,2.58,2.68
234,2034,,,2.42,2.61,2.62,2.73
235,2035,,,2.44,2.63,2.66,2.78
236,2036,,,2.46,2.65,2.69,2.83
237,2037,,,2.48,2.68,2.73,2.87
238,2038,,,2.51,2.71,2.77,2.92
239,2039,,,2.54,2.73,2.81,2.97
240,2040,,,2.56,2.75,2.85,3.03
241,2041,,,2.59,2.78,2.9,3.08
242,2042,,,2.61,2.81,2.94,3.13
243,2043,,,2.63,2.83,2.99,3.18
244,2044,,,2.65,2.85,3.03,3.23
245,2045,,,2.67,2.88,3.07,3.29
246,2046,,,2.68,2.9,3.11,3.34
247,2047,,,2.7,2.93,3.16,3.4
248,2048,,,2.71,2.95,3.2,3.45
249,2049,,,2.72,2.98,3.24,3.51
250,2050,,,2.73,3.01,3.28,3.57
251,2051,,,2.73,3.04,3.33,3.63
252,2052,,,2.74,3.06,3.37,3.69
253,2053,,,2.75,3.09,3.41,3.75
254,2054,,,2.75,3.11,3.45,3.8
255,2055,,,2.76,3.14,3.49,3.86
256,2056,,,2.76,3.17,3.53,3.92
257,2057,,,2.76,3.19,3.57,3.98
258,2058,,,2.77,3.21,3.61,4.03
259,2059,,,2.77,3.23,3.65,4.09
260,2060,,,2.78,3.25,3.69,4.14
261,2061,,,2.78,3.27,3.73,4.19
262,2062,,,2.78,3.29,3.77,4.25
263,2063,,,2.79,3.32,3.81,4.32
264,2064,,,2.79,3.34,3.86,4.37
265,2065,,,2.79,3.36,3.91,4.43
266,2066,,,2.79,3.38,3.95,4.5
267,2067,,,2.78,3.4,4.0,4.56
268,2068,,,2.78,3.42,4.05,4.62
269,2069,,,2.78,3.43,4.09,4.69
270,2070,,,2.77,3.45,4.14,4.75
271,2071,,,2.77,3.46,4.19,4.82
272,2072,,,2.76,3.48,4.23,4.88
273,2073,,,2.76,3.49,4.28,4.94
274,2074,,,2.75,3.52,4.33,5.01
275,2075,,,2.75,3.53,4.38,5.07
276,2076,,,2.74,3.55,4.43,5.13
277,2077,,,2.73,3.57,4.48,5.19
278,2078,,,2.73,3.59,4.53,5.25
279,2079,,,2.73,3.6,4.58,5.31
280,2080,,,2.72,3.62,4.62,5.37
281,2081,,,2.72,3.64,4.67,5.43
282,2082,,,2.72,3.66,4.71,5.5
283,2083,,,2.72,3.68,4.75,5.57
284,2084,,,2.72,3.7,4.79,5.63
285,2085,,,2.72,3.71,4.84,5.7
286,2086,,,2.72,3.73,4.88,5.77
287,2087,,,2.72,3.74,4.93,5.85
288,2088,,,2.72,3.76,4.99,5.92
289,2089,,,2.72,3.77,5.05,6.0
290,2090,,,2.72,3.78,5.1,6.07
291,2091,,,2.71,3.8,5.16,6.15
292,2092,,,2.71,3.81,5.21,6.23
293,2093,,,2.71,3.82,5.27,6.3
294,2094,,,2.71,3.84,5.32,6.38
295,2095,,,2.71,3.85,5.38,6.45
296,2096,,,2.71,3.86,5.43,6.53
297,2097,,,2.71,3.87,5.49,6.6
298,2098,,,2.7,3.88,5.55,6.67
299,2099,,,2.7,3.89,5.6,6.74
300,2100,,,2.7,3.9,5.66,6.83
